icao_code,name
OATD,Toorghodi Heliport
OALG,Logar Airport
AGAF,Afutara Aerodrome
AGAR,Ulawa Airport
AGAT,Uru Harbour Airport
AGBA,Barakoma Airport
AGBT,Batuna Aerodrome
AGEV,Geva Airport
AGGA,Gwaunaru'u Airport
AGGB,Bellona/Anua Airport
AGGC,Choiseul Bay Airport
AGGE,Ballalae Airport
AGGF,Fera/Maringe Airport
AGGH,Honiara International Airport
AGGI,Babanakira Airport
AGGJ,Avu Avu Airport
AGGK,Ngorangora Airport
AGGL,Santa Cruz/Graciosa Bay/Luova Airport
AGGM,Munda Airport
AGGN,Nusatupe Airport
AGGO,Mono Airport
AGGP,Parasi Airport
AGGR,Rennell/Tingoa Airport
AGGS,Sege Airport
AGGT,Santa Ana Airport
AGGU,Marau Airport
AGGV,Suavanao Airport
AGGY,Yandina Airport
AGIN,Isuna Heliport
AGKG,Kaghau Airport
AGKU,Kukudu Airport
AGKW,Kwailabesi Airport
AGLM,Lomlom Airport
AGNA,Nana Airport
AGOB,Manaoba Airport
AGOK,Gatokae Aerodrome
AGRC,Ringi Cove Airport
AGRM,Ramata Airport
AGTI,Tulaghi Heliport
ANYN,Nauru International Airport
YPAS,Packsaddle Airport
YMRO,Moora Airport
YOKH,Oakden Hills Airport
YWIR,Wirraminna Airport
AYAA,Ama Airport
AYAE,Mount Aue Airport
AYAF,Afore Airstrip
AYAG,Agaun Airport
AYAI,Aitape Airport
AYAK,Aiambak Airport
AYAM,Amanab Airport
AYAN,Andakombe Airport
AYAO,Aiome Airport
AYAQ,Kompiam Airport
AYAT,Ambunti Airport
AYAW,Awaba Airport
AYAX,Aseki Airport
AYAY,Aiyura Airport
AYBA,Baimuru Airport
AYBC,Bambu Airport
AYBD,Bodinumu Airport
AYBF,Bamu Airport
AYBG,Baindoung Airport
AYBH,Bensbach Airport
AYBI,Bewani Airport
AYBK,Buka Airport
AYBL,Bialla Airport
AYBM,Balimo Airport
AYBO,Bomai Airport
AYBP,Bapi Airstrip
AYBQ,Biangabip Airport
AYBR,Biaru Airport
AYBU,Bulolo Airport
AYBZ,Biniguni Airport
AYCB,Chungribu Airport
AYCG,Cape Gloucester Airport
AYCH,Chimbu Airport
AYCS,China Strait Airstrip
AYDB,Debepare Airport
AYDE,Derim Airport
AYDI,Bundi Airport
AYDK,Munduku Airport
AYDL,Kondobol Airport
AYDN,Dinangat Airport
AYDO,Doini Airport
AYDR,Dorobisoro Airport
AYDU,Daru Airport
AYEA,Kerau Airport
AYEB,Embessa Airport
AYED,Edwaki Airport
AYEE,Emirau Airport
AYEF,Efogi Airport
AYEH,Morehead Airport
AYEL,Eliptamin Airport
AYEN,Engati Airstrip
AYEO,Emo River Airstrip
AYER,Erume Airport
AYET,Bosset Airport
AYEV,Erave Airport
AYEW,Siwea Airport
AYFA,Fane Airport
AYFF,Faia Airport
AYFI,Finschhafen Airport
AYFR,Frieda River Airport
AYFU,Fuma Airport
AYGA,Goroka Airport
AYGC,Gewoia Airport
AYGF,Guari Airport
AYGG,Garasa Airport
AYGI,Garaina Airport
AYGJ,Guasopa Airport
AYGL,Gonaili Airport
AYGN,Gurney Airport
AYGP,Gusap Airport
AYGR,Girua Airport
AYGS,Gasuke Airport
AYGT,Gasmata Island Airport
AYGU,Anguganak Airport
AYGV,Green River Airport
AYGX,Gora Airstrip
AYHB,Habi Airport
AYHE,Heiweni Airport
AYHF,Hayfields Airport
AYHH,Honinabi Airport
AYHK,Hoskins Airport
AYHO,Haivaro Airport
AYHU,Hawabango Airport
AYIA,Nissan Island Airport
AYID,Indagen Airport
AYII,Imane Airport
AYIM,Kungim Airport
AYIO,Imonda Airport
AYIQ,Aropa Airport
AYIW,Wasua Airport
AYIX,Witu Airport
AYIY,Miyanmin Airport
AYJO,Yongai Airport
AYJS,Josephstaal Airport
AYKA,Losuia Airport
AYKB,Kabwum
AYKC,Kandrian Airport
AYKD,Kamina Airport
AYKG,Kopiago Airport
AYKH,Kamulai Airport
AYKI,Kiunga Airport
AYKJ,Kanainj Airport
AYKK,Kikori Airport
AYKM,Kerema Airport
AYKO,Kokoda Airport
AYKQ,Kagi Airport
AYKR,Kar Kar Airport
AYKT,Kaintiba Airport
AYKU,Kuri Airport
AYKV,Kavieng Airport
AYKW,Kawito Airport
AYKY,Londolovit Airport
AYLB,Lab Lab Airport
AYLG,Keglsugl Airport
AYLI,Kibuli Airstrip
AYLL,Linga Linga Airport
AYLN,Langimar Airport
AYLO,Lowai Airport
AYLP,Leron Plains Airport
AYLS,Lese Airport
AYLT,Lengbati Airport
AYLU,Lumi Airport
AYLX,Long Island Airport
AYMA,Manari Airport
AYMB,Morobe Airport
AYMC,Menyamya Airport
AYMD,Madang Airport
AYMH,Mount Hagen Kagamuga Airport
AYMI,Mindik Airport
AYMJ,Makini Airport
AYML,Mougulu Airport
AYMN,Mendi Airport
AYMO,Momote Airport
AYMP,Malalaua Airport
AYMQ,Malam Airport
AYMR,Moro Airport
AYMS,Misima Island Airport
AYMV,Malekolon Airport
AYMW,Marawaka Airport
AYMZ,Mapua(Mabua) Airport
AYNA,Nankina Airport
AYNB,Kanabea Airport
AYNC,Nadunumu Airport
AYND,Aua Island Airport
AYNE,Negarbo(Negabo) Airport
AYNI,Nuguria Airstrip
AYNJ,Namudi Airport
AYNM,Kasonombe Airport
AYNN,Kandep Airport
AYNO,Nomane Airport
AYNS,Bunsil Airport
AYNU,Nuku Airport
AYNX,Namatanai Airport
AYNY,Nambaiyufa Airport
AYNZ,Nadzab Airport
AYOB,Obo Airport
AYOE,Konge Airport
AYOF,Okao Airport
AYOG,Ogeranang Airport
AYOJ,Oksapmin Airport
AYOK,Komako Airport
AYOL,Kol Airport
AYOM,Omora Airport
AYOO,Komo-Manda Airport
AYOP,Kosipe Airport
AYOQ,Komaio Airport
AYOV,Olsobip Airport
AYOW,Koroba Airport
